Date,Farm,Treatment,Plant #,Flower #,
6/6/2019,Charlotte,C,229,5,
6/6/2019,Adams,C,99,5,
6/6/2019,Adams,C,45,1,
6/6/2019,Adams,C,307,31,
6/6/2019,Charlotte,A,218,8,
6/6/2019,Charlotte,A,64,13,
6/6/2019,Charlotte,A,60,12,
6/6/2019,Charlotte,A,351,3,
6/6/2019,Charlotte,A,73,29,
6/11/2019,Charlotte,C,28,2,
6/11/2019,Charlotte,C,9,11,
6/11/2019,Charlotte,C,22,6,
6/11/2019,Charlotte,C,229,2,
6/11/2019,Charlotte,C,23,3,
6/11/2019,Adams,A,355,2,
6/11/2019,Adams,A,241,6,
6/11/2019,Adams,A,105,6,
6/11/2019,Adams,A,109,4,
6/11/2019,Adams,A,228,3,
6/6/2019,Adams,E,208,7,
6/6/2019,Adams,E,215,28,
6/6/2019,Adams,E,395,19,
6/6/2019,Adams,E,398,7,
6/6/2019,Charlotte,E,393,6,
6/6/2019,Charlotte,E,207,5,
6/6/2019,Charlotte,E,350,5,
6/6/2019,Charlotte,E,193,15,
6/6/2019,Charlotte,E,214,6,
6/6/2019,Charlotte,E,358,26,
6/6/2019,Charlotte,E,335,8,
6/11/2019,Adams,E,338,6,
6/11/2019,Adams,E,208,4,
6/11/2019,Adams,E,215,26,
6/11/2019,Adams,E,328,3,
6/11/2019,Adams,E,395,13,
6/11/2019,Adams,E,383,9,
6/11/2019,Adams,E,398,7,
6/6/2019,Adams,A,109,6,
6/6/2019,Adams,A,228,9,
6/6/2019,Adams,A,105,24,
6/6/2019,Adams,A,241,3,
6/6/2019,Adams,A,355,1,
6/6/2019,Full Belly,E,334,62,
6/6/2019,Full Belly,E,134,3,
6/6/2019,Full Belly,E,331,26,
6/6/2019,Full Belly,E,260,3,
6/6/2019,Full Belly,E,196,5,
6/6/2019,Full Belly,E,216,1,
6/6/2019,Full Belly,E,347,1,
6/6/2019,Full Belly,C,322,4,
6/6/2019,Full Belly,C,86,7,
6/6/2019,Full Belly,C,370,2,
6/17/2019,Knoll,E,356,3,
6/17/2019,Knoll,E,289,7,
6/17/2019,Knoll,E,122,5,
6/17/2019,Knoll,E,194,4,
6/17/2019,Knoll,E,174,6,
6/17/2019,Knoll,E,257,3,
6/17/2019,Knoll,E,251,14,
6/17/2019,Knoll,E,394,1,
6/17/2019,Knoll,C,26,1,
6/17/2019,Knoll,C,368,5,
6/6/2019,Full Belly,A,299,47,
6/6/2019,Full Belly,A,153,18,
6/6/2019,Full Belly,A,44,17,
6/6/2019,Full Belly,A,146,3,
6/6/2019,Full Belly,C,322,4,
6/6/2019,Full Belly,C,86,7,
6/6/2019,Full Belly,C,370,2,
6/6/2019,Knoll,C,254,18,
6/6/2019,Knoll,C,289,29,
6/6/2019,Knoll,C,251,2,
6/6/2019,Knoll,C,257,3,
6/6/2019,Knoll,A,230,57,
6/6/2019,Knoll,A,148,12,
6/11/2019,Full Belly,E,334,2,
6/11/2019,Full Belly,E,134,5,
6/11/2019,Full Belly,E,331,5,
6/11/2019,Full Belly,E,196,1,
6/11/2019,Full Belly,E,234,2,
6/11/2019,Full Belly,E,347,1,
6/11/2019,Full Belly,E,216,4,
6/11/2019,Full Belly,C,86,3,
6/11/2019,Full Belly,C,370,4,
6/11/2019,Full Belly,A,146,5,
6/11/2019,Full Belly,A,153,4,
6/11/2019,Full Belly,A,299,4,
6/6/2019,Knoll,A,148,12,
6/6/2019,Knoll,A,230,57,
6/6/2019,Knoll,C,26,4,
6/17/2019,Knoll,A,230,4,
6/17/2019,Knoll,A,81,2,
6/17/2019,Knoll,A,47,2,
6/17/2019,Knoll,A,230,4,
6/17/2019,Knoll,A,81,2,
6/17/2019,Knoll,A,47,2,
6/7/2019,Adams,A,228,8,
6/7/2019,Adams,A,109,9,
6/7/2019,Adams,A,105,23,
6/7/2019,Adams,A,241,5,
6/7/2019,Adams,A,355,3,
6/7/2019,Adams,C,45,4,
6/7/2019,Adams,C,307,24,
6/7/2019,Adams,C,99,5,
6/7/2019,Adams,C,223,2,
6/7/2019,Adams,E,395,11,
6/7/2019,Adams,E,215,36,
6/7/2019,Adams,E,383,0,
6/7/2019,Adams,E,398,9,
6/17/2019,Knoll,E,356,3,
6/17/2019,Knoll,E,122,5,
6/17/2019,Knoll,E,174,6,
6/17/2019,Knoll,E,257,3,
6/17/2019,Knoll,E,251,13,
6/17/2019,Knoll,E,394,1,
6/17/2019,Knoll,E,289,7,
6/17/2019,Knoll,E,194,4,
6/10/2019,Boutin,E,195,38,
6/10/2019,Boutin,E,329,14,
6/10/2019,Boutin,E,213,8,
6/10/2019,Boutin,E,137,19,
6/10/2019,Boutin,E,161,3,
6/10/2019,Boutin,E,138,2,
6/10/2019,Boutin,C,96,3,
6/10/2019,Boutin,A,72,6,
6/13/2019,Charlotte,C,9,2,
6/13/2019,Charlotte,C,222,5,
6/13/2019,Charlotte,C,23,1,
6/13/2019,Charlotte,C,229,1,
6/13/2019,Charlotte,A,64,1,
6/13/2019,Charlotte,A,357,1,
6/13/2019,Charlotte,A,169,1,
6/13/2019,Charlotte,A,73,1,
6/13/2019,Adam's,C,99,1,
6/13/2019,Adam's,C,307,1,
6/13/2019,Adam's,C,145,6,
6/10/2019,Isham,E,303,6,
6/10/2019,Isham,E,346,12,
6/10/2019,Isham,E,201,33,
6/10/2019,Isham,E,348,5,
6/10/2019,Isham,E,278,21,
6/10/2019,Isham,E,348,5,
6/10/2019,Isham,E,396,8,
6/10/2019,Isham,E,290,8,
6/10/2019,Isham,E,128,27,
6/10/2019,Isham,C,3,2,
6/10/2019,Isham,C,151,7,
6/10/2019,Isham,C,1,24,
6/10/2019,Isham,A,85,2,
6/10/2019,Isham,A,298,14,
6/10/2019,Isham,A,142,24,
6/10/2019,Isham,A,231,1,
6/13/2019,Adam's,E,328,5,
6/13/2019,Adam's,E,215,13,
6/13/2019,Adam's,E,208,1,
6/13/2019,Adam's,E,338,6,
6/13/2019,Adam's,E,383,8,
6/13/2019,Adam's,E,247,4,
6/13/2019,Adam's,E,395,13,
6/13/2019,Adam's,E,398,5,
6/10/2019,Adams,A,105,22,
6/10/2019,Adams,A,241,5,
6/10/2019,Adams,A,109,7,
6/10/2019,Adams,A,228,6,
6/10/2019,Adams,A,355,2,
6/10/2019,Adams,A,"
",5,
6/10/2019,Adams,C,99,9,
6/10/2019,Adams,C,45,11,
6/10/2019,Adams,C,307,21,
6/10/2019,Adams,E,215,32,
6/10/2019,Adams,E,208,3,
6/10/2019,Adams,E,383,10,
6/10/2019,Adams,E,395,22,
6/10/2019,Adams,E,398,8,
